account_id,yield,yield_decimal
0xd4eea31c18034c76caf123a4b4d1676642f50710,0.663038,0.00000076
0xc4109e427a149239e6c1e35bb2ecd0015b6500b8,0.006671,0.00000001
0x2ccb8893ea0e152177c59b2a0988e627b2a46d21,0.037176,0.00000004
0x96d17871f1d0c415205677b8122bbd06a976d39c,75.141538,0.00008558
0x414b7322f1e1785f77eead594b1d94c5cbb4bbdc,45.064459,0.00005133
0x704a11367948bc70b2c722ec6edb99e23ecca0d2,10.392341,0.00001184
0x2858916a4606d1a84e132f37a0e7d74707787403,10.182373,0.00001160
0x2830f1ab0d92aae815da91f69b0b0fe1b938ba46,10.180970,0.00001160
0x72c4999e88c6652045061c104b29f8660cb07b1d,10.180329,0.00001160
0xde02daa300b108d74137cc9339e02e5fae65504a,13.605989,0.00001550
0x6372bad16935878713e5e1dd92ec3f7a3c48107e,80.762633,0.00009199
0xe7f561e44e8c027c22c4815fa973616ef8919ce5,68.434362,0.00007794
0x50f2d8da7f0349be9de72fbbd1bf1fc87e4a2b8b,16.352581,0.00001862
0x8cdf1d177b3c0dc5d9da9e786e97d238bcad892a,17.762849,0.00002023
0xb92327fb8a83034ba81fa5b19acdfceeb2747501,1694.947472,0.00193048
0xb3ee28df12937b05f383ddfdd8f0784a9a617332,214.588878,0.00024441
0xf7566a79aa3ea9cf7bfa6894e25229e7d6900705,1178.977200,0.00134281
0xc3eed391e92ac9d810cb43cc4c1124e99ccaf688,1838.079700,0.00209350
0xd7203b1d4ac86d3ae880df4721ce61a724026337,18.837492,0.00002146
0xee15149c007f597c49956d2fc06e2eb3c68485cf,0.715111,0.00000081
0xc8f921829938eecd14f53e8b22687bcf706ecdcc,0.777215,0.00000089
0x0d1a181e287bccc82f640e079669f07ef461bc78,41.399345,0.00004715
0x899a8a919fc6b394b1cb1235d1e59edf6a190157,0.292211,0.00000033
0x0d9f373501341807de8538458ce6ac06c85e69b7,0.349613,0.00000040
0xfadecf703d343b59cdc3e0c5d60680eb62625fc5,7.619704,0.00000868
0xd2c30f01c1292250bb5e98dad0988b9deaa6b196,2535.407539,0.00288773
0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1,124306.490483,0.14158031
0xda31721fd25865b00d729e31bcbf377f1e15c495,176.879165,0.00020146
0x6c14430adacc99e27f6180bc5a74d6768616bf4a,20.984659,0.00002390
0xf991acd672d5b344afcb29931af6401ed32e2691,27419.598753,0.03122987
0xd670c6874347b5c905903985799ad03963b72de8,6.486872,0.00000739
0xca0c8c28ec2f352649b3b9d2b8c673e6254142d6,17.611352,0.00002006
0x1ece8e8929b0d8846715a13cb9b4a2ebe85f4943,30.376048,0.00003460
0xd6012aaeb26c061be73529601085f5a2294d55c3,3.157362,0.00000360
0xcc0e2d9285e5790ea204164d982bd910cf84dd8b,3762.692193,0.00428556
0x70d8dd9492aceb067e805775a434879e7eec3046,56.445024,0.00006429
0x239be1f15e673538b6b5b41ca843a9ae37fd7599,103.145321,0.00011748
0x22c97f75accd76015adab97d8eaa360948af4c1b,116.266176,0.00013242
0xe4a7fbffbe121af0e615437c330ed0adc05094f8,21.064670,0.00002399
0xfdc46fbdd8af50d9bf7536bf44ce8560e423352c,103.622823,0.00011802
0xb13114bdbd4803526483384cb99b6c0aa48a30f7,6.060161,0.00000690
0x864de5bbaf4b8c808e94a8385b95b0855d170137,4251.785505,0.00484262
0xbe998ebc2125bcc1201f522ae85be99fbf1fbe5f,24.670706,0.00002810
0xb3af0e54426e48d230c97ae837f34345167be1c6,13075.311845,0.01489228
0x614d98a57a5d879d717152de0690ed2b04562ade,120928.393765,0.13773279
0xa3e070f9378133aac2f9b57f05efbf3c3397a0f0,7.024569,0.00000800
0x4bac591e450422b6649a652d02a416fff5ff24f2,25.113781,0.00002860
0x31501e1d09e496304600137b1e0f7b4c881eaf66,130.599609,0.00014875
0x2b7dd66f1c31f7d3c785bd6414512b70bf923a73,55.864613,0.00006363
0x9c4b7310ab19238df7541c55b3bc48a808fd8bbd,46529.872405,0.05299574
0xda2b136195934f224d7d6d4b2b89b0ebb54bd840,21.409399,0.00002438
0xafce0d965d62133d5d8f46a0d598f782c8a9d148,122.255435,0.00013924
0xb7aca45b30e7586e26c39b07bc5e2284a1025f47,29.974648,0.00003414
0x4092696f322bcaa2dbe83423b793cdb8647d6722,116.035021,0.00013216
0xcc44a3969a0230c88042deb4f20baa70e133268e,432.705125,0.00049283
0x8d4fbf807aefecffc824aaef7d738703b6cf24eb,42.621485,0.00004854
0xe0519061cc0d967040da301a09e5a45f18cb15b3,13.466724,0.00001534
0x390da5a1049949a80fad3108e56d5c672f828d77,100.079708,0.00011399
0x9d03f3d4f86230bb401ff385aacc48ac510d96a6,136.516885,0.00015549
0x796ee72ff86525e4357b5ae36e5df422d2db181b,52.245911,0.00005951
0x4f59959fcf65f8be426e0d42ba3e3975db2646a2,13.060236,0.00001488
0x144c2cd3370b7b4e6ddb4d4756a024431a8fe0d8,1.408178,0.00000160
0x492f95553897121cf3de67bc7cd93265c98258f6,11.481731,0.00001308
0x4140f79e77270fc5f31ab94e35b185978c201fc2,3.252224,0.00000370
0x98d40cdb507f5e9dfcd60f1471e41d5f2e89eabc,1.814742,0.00000207
0x05baad58a34b1fcbc04b291d7775bf853815b2f1,1317.234752,0.00150028
0x702633b43571ddef7efd2c09616e665e58f4562c,121.944761,0.00013889
0x9c68dcf3dd7eb3c5afbaeb4287e0062b21731d11,7.796528,0.00000888
0x2588253cc1daac3e7d823b9190ec87e75c67f2c4,49.532817,0.00005642
0xbab7901210a28eef316744a713aed9036e2c5d21,19.135365,0.00002179
0x7f34a09ad200dce2d78415edf248f92de5fb0016,36.817751,0.00004193
0x90e1e832f483bd2bb3c90c32e7a8b601330eeaa2,10.472457,0.00001193
0xbdcd2d9ce5c278e029ff2422cf3a0543eb28c731,40.025066,0.00004559
0x01a6803f2f9f975e25c5219e23272fc45ed89213,15.820801,0.00001802
0xdd839203d23d6359cd85d93a327975f525253e99,54.144888,0.00006167
0x47c1bc95759adbcd1a2b765ccda771fbeecdfc1b,1647.485149,0.00187642
0xa2604a79c7f43e8a1025914e046d54caf8d254bf,7167.478008,0.00816348
0xf292bed4bff2a3d1fd9ab4217ed4d29efaf1d797,9210.699419,0.01049063
0x166e9863d8b93ee0c6c31e3e3f0e0ce06ab21897,13.923262,0.00001586
0x792cd77c10696913ce930a799ca9a3d81cdd208f,128.483052,0.00014634
0xc8ed9033dcf449cc53f96616808697878f4d202f,108.201590,0.00012324
0x8526406521d8d16c85981eabdc5559848c5de783,82.890215,0.00009441
0x7d94ce6a74dbc2451e80a41a54667c7ada961dbf,2.304935,0.00000263
0x235987b53ed16a5f331c3648f78cbc148a877d27,92.690385,0.00010557
0x0e67ce7da06875ec116654bdbea4727e5fa49d47,9.853272,0.00001122
0xc05383f1f4fc3b8e28d10e72b502322d8a4c681b,6.208312,0.00000707
0x58605d60e2964aa36d6cb4da23d9f9ddec9bc4f7,78.588743,0.00008951
0x8fc4258bbabc0abe273574835996e77148b7c9c9,13.119933,0.00001494
0xade9e683cfa84d4c47d74de76afe8c4d7042eb2b,94.251475,0.00010735
0x6a6e433fe1bff7bbdcffdbbd0d04a0e99f81b19f,4.290541,0.00000489
0x0ea3a94701239ad50ea268248e5f168bcea1606f,88.184848,0.00010044
0x10b56a3f687453fb5c2fe940f949980bbd1f72d8,2.801585,0.00000319
0x3258f6943b3a4480bcf08116fcea1625cae95a8b,62.785339,0.00007151
0x71601ec67bf739840d9b4c3c02078d8344d1512d,3.499029,0.00000399
0xafa4d3fa6c2aa907514228eba543ccbe3c183452,3.498716,0.00000398
0xf7a11eddceeb31f5070a0fbeee8d6b86f1848226,3.498827,0.00000399
0x108ac09401512cefc7fb48c5f2e7fe09131380e4,3.499139,0.00000399
0x6eab7d6c3a802c4d24c8ba5f3d56c7b514b005d0,2.801519,0.00000319
0xd9192c50d9c2f1bd28097bfcc0491fd0701a65bc,3.498025,0.00000398
0x8d785da0514f38d22843775d94355458480f0efd,3.498937,0.00000399
0x5e19a17f52d641fab4baf6ff08b883369335d79d,2.801448,0.00000319
0xdfea161c85210975a6d21cf65d4fddba28e2f4dd,1.951516,0.00000222
0x39b946e35b3dc215455cc95b446edd8368928d10,9.633699,0.00001097
0x725ab99af912b243171a1ba89d09f357bf6b5ee8,4.846480,0.00000552
0x9a030f4430c169401734f0a03b0b0b9b7d6ad277,4.508993,0.00000514
0x95175648c5c0b8b96131e6c3093e45488f542d35,5.440318,0.00000620
0x10daaddfcbf9dcade8939b9149fb4a67db2c22b2,36.494377,0.00004157
0xa9d6108e70cb58ef791c9d8f80488934d4dcaddd,877.834484,0.00099982
0xa09c60ed01258a0b67184dad3f89d226c2de60d5,30.106890,0.00003429
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,12.786873,0.00001456
0x3919c715c543f8d83d7a4d52606bbf7f46248e11,28.713619,0.00003270
0x3e756be298ea913947525b0b0babcd0b09e3e708,193.246714,0.00022010
0x575c1b1e040e7ea8fb07ce418c8642c123daa0ec,108.405352,0.00012347
0x2ce1dd185e12958d704678b60d484f10d0bc3b9d,487.085156,0.00055477
0xeaaa108be90e2e1bf1a1b5f19e2a5fc7419dd211,5.216449,0.00000594
0xd0076b85c236d38628f692bc5aa9e8b77edfed15,202.190452,0.00023029
0xc0e87089937c161d4a59587c392c58685b5d9812,1784.427466,0.00203239
0x6fe6a50f1017d485a2750f1a69273d82b50f54c6,208.730945,0.00023774
0xac18330fc14634fe293facca63c0bf769b6f279a,269.704855,0.00030718
0xd4375a76411dae2e9157c63fe6aeca0e8cc72062,3.560750,0.00000406
0x8ebd16355d5fdb9badab159e4c807a0f8a41b98d,7.397211,0.00000843
0x823d257056c4727d386bf92cb530ecbe1a0e39be,27.134800,0.00003091
0xfda09e99d15586215b135feec3ce02b4e73f5513,20.578613,0.00002344
0x122da9e83401f582f72471236b12c8da24a19270,9.459926,0.00001077
0x4abadbe16a0691041122ac4f44d178a1960d8046,38.799709,0.00004419
0x2ec2c7bbfd6f0b4ebf191924c9f5fc113aa7db24,3.291961,0.00000375
0xc7d22cf64f994eccafd7caf614bcb70c4d3a5804,7.256809,0.00000827
0xfadc7c028a0df7e908b788166859ebab7aa49016,6.633993,0.00000756
0xc75b8a11aab7c6dcfc320e8af66d3c1c5478acad,20.537111,0.00002339
0x5180ab6177763919a0c8d72347bff39aed7664a2,6.830635,0.00000778
0x8acc23b89a1ef9624edaaacbbc693b4c6f9c2903,6.625106,0.00000755
0xa05eea60a5368fb1c11023171a79f2279bb60b8f,17.233636,0.00001963
0xea0be31e05dc5a88d4122e850c2b75a95474416b,6.620579,0.00000754
0x6b5d0f0cc85c40ae6029bfaa252988e147765d8c,1150.150956,0.00130998
0x8c518ed37068ccedead13c5884a1a0febd36cdb2,6.617370,0.00000754
0x5860295407495cfbb8916d49b26297fcc5194116,8.259474,0.00000941
0xd810fda7230762d7a93fa9e9ad7061ddc143016b,6.605974,0.00000752
0x3eae44fcfc52f00196af68e8117272415495d50b,6.443111,0.00000734
0x7a43250efaab7e6834af6d3f41af41d2b7653a8d,6.638330,0.00000756
0x56a6e95988b0ed73ab10d0873affe4c87faa8ae3,6.642370,0.00000757
0x31c3d0b0f6092b5fc4be4dc69770e7d7469b4468,6.646047,0.00000757
0x7c17441eff74a21d02dbb3f2e9e0267ea7f42d04,6.649262,0.00000757
0xa40c56ae05a37382ffbb5b8397c6e5c5c5223331,10.132894,0.00001154
0xe5f0ac20c533e82ad4b78e96c6b3a8c27635a454,64.320466,0.00007326
0xc0014b004fe132c07e3ae9f2532491ce9187f84f,20.649600,0.00002352
0xcd41b36818d094d3643102962bfbeac033136aa2,150.150682,0.00017102
0xce5abfa37e36e93de24a20864ce4a3ce470e1804,17.010898,0.00001937
0x4a571cbe37facce4fef80e59d8d4e5fc9d1940c1,22.756444,0.00002592
0x318729c71908af1a7beed5b8796377146c8f1bd6,23.669109,0.00002696
0xad94ccf3e8b2d0eb0051461179a4dab3ce2e8bc8,15.329185,0.00001746
0xb0a8b34d0c017bbab1db5dfbf5eae06d6a9cb6d4,191.741006,0.00021839
0xed83cae01cd4d668ce20ea978b5486d3dbb4299f,5.398509,0.00000615
0x267ee34200b09ea8b52d02eec3300b84985b1efd,97.348257,0.00011088
0x5a8ecc2ebf0db3e4d205ffba946a9cfb1431c766,19.459341,0.00002216
0x7825093a4566ce74cdd4976ae31506cd6156e4e8,6.611981,0.00000753
0xb7e32f6899e665e407fc068cffed4267f955ede3,19.338309,0.00002203
0x06e5bde6930811beb4c2742eb584a30849908263,38.176100,0.00004348
0x53ae707382d1231a4414ad1e982d775842f6a934,11.133094,0.00001268
0x9ac9c21056a22ececf52fef3cccab47974fd797b,3.407321,0.00000388
0x16f3cb90f2b343cf8e9f468b2dee527be757f8a5,3.407410,0.00000388
0xec2fa1e952772fdf6711a05112967d7740346d3a,3.407340,0.00000388
0xfd756ba28fbcd2d793a17b31ab6852ddb2639bd2,3.407242,0.00000388
0x216c804d1ebee398e701f7f3c56d97cf3c013aea,3.407236,0.00000388
0x3da8a4045f9d88b0ff35f6af2ece549f89c101e0,3.406545,0.00000388
0xa0af346f4ae468e0c6c697b1570b2cb286c79efc,3.406906,0.00000388
0x7503b7b60ab02b8c11f3beb3e43a0879bfd89bb2,3.406828,0.00000388
0x8cd57f5ccadb5fd3a37cd70b89bec6058f2584e0,3.406619,0.00000388
0x29b7ed1e1185c85f90cdd795fb4b3d8ef194e3c3,3.406674,0.00000388
0xc6e12715cf0a3a5ef0e988acb2e59e8a676a348e,3.406753,0.00000388
0x851530f8c629a2e7ac7661a9f316c94c8515762e,3.406872,0.00000388
0x0652ce724af61fbd923089e0c9d697012caa95e3,10.340367,0.00001178
0x58b9a670d45a0d62439eca2e5a97427f28150d14,11.722235,0.00001335
0x50edcedd9220d55e75e8aa01c2898ba81728d82c,17.273607,0.00001967
0x7ab32cd0242db644cb64654f997a4b350845042f,11.721013,0.00001335
0x9014a7622dfdd4bc678d19bc34c5fcbc33213c88,911.471140,0.00103813
0xc5ab28e4d8f52b1c8b74bde6f18737e79dd9f6ce,122.429250,0.00013944
0x31616b3db3f40240f309d508478fe7f8d6bb763d,5.370412,0.00000612
0x75a0c0df8ad659190698db6b6f32a859d7b237c7,10.276165,0.00001170
0x434cfffce3b412aa5a41c8f6bd4181bb2581dabe,14.059261,0.00001601
0xe104be335af7557b63277f1b51b255323075c66d,14.098119,0.00001606
0xaf57e2f2259dc7cf92779e33bf4ca827f254cf22,1.226770,0.00000140
0x1ac6fbfab0a4de7098138d00e2446b035db4a229,114.785170,0.00013074
0xf849fbc43f9a108a297c8730eede2896932fda68,392.628152,0.00044719
0xd3bd790a90fb344c9af658601a17ead10347e7ad,622.919054,0.00070948
0x61f8c99f4acde25dac0c591f5e6b4b635ab2f7c5,19.567511,0.00002229
0xe8678fbecb76c557f48bbb949a114216cb1fd775,56.843971,0.00006474
0xa663473951a57fe34c0a8f4e3d869a29593cf5bc,674.396965,0.00076811
0x095a7fd3014ee22b7c6e33847776d7f0e1e64733,23.927425,0.00002725
0x77bfecac1d1eb046d8a75c1d4cdabe267180646c,4.208980,0.00000479
0xf260cc652849c3e030e641803e47f9c673540bf9,283.955712,0.00032341
0x0ea29538678143ce5f0cbd88a46c38b311a39ee0,0.243544,0.00000028
0x9e0c163c5d07ae90c8f805165864d583bbae6b17,27.049793,0.00003081
0x762a69c818ec3feb3359fcfa144014537fc157b5,611.989776,0.00069703
0x648fc67496fa67f0d186e4959d67025c555b7063,745.447098,0.00084904
0xd3b40526659c00ed9998d13aa8e45a13544bfbde,929.538327,0.00105871
0x8fd99cf0db02735028687849d70414cd63c72cef,10.804113,0.00001231
0x1691565c9e5846b348bf21707521e492614df376,6.346571,0.00000723
0x3b5081a744d339fde268a1ebd5b7e97c48488902,9.104246,0.00001037
0x8002969ff7fdfb706d76dd52a23428c45b0c4c33,2283.856201,0.00260122
0xd8f3676a7567842295170b3f6ae4bd466a878374,13.506314,0.00001538
0xe29300c00618dd16c9d332f899b71f4362be6b1d,1099.364635,0.00125213
0x38a44113eb05c92d268221395270d1677b4d239f,34.874593,0.00003972
0x6c9e4e91f9aa1e7ddb52e698c4444afab48e0741,54.209692,0.00006174
0xb798081a4fba31790f13e4d553e39114ba0998ca,286.122458,0.00032588
0x5cb623130ba7214c37a921749f177ca3c50b4c6d,50.122869,0.00005709
0xc3c4445f5eaef12674912768a5a73638b8f44f81,20.301905,0.00002312
0x5c2670a95f13a9604a1b3d08ef695af3d5fc3e62,2.149251,0.00000245
0x4be16253dfe338e7fe6a36bc1008f720183c2919,355.644315,0.00040507
0x360f8bedcde0ac1653a9cfc3146dea9c3371067a,15.468942,0.00001762
0x9e7f237617ef3bdc3a1933440e5ee24e4380805f,38.373037,0.00004371
0xeeaec6924bfb02a18a683f4b6fe6d30fe2d08089,50.771899,0.00005783
0xdd660cfde53b18e48ddf1a356d0e21b42c764d8a,748.548127,0.00085257
0xf42e91a421715eee69ed7dd01f9ff5053ba858e4,2927.468371,0.00333427
0x7841708ee45e96464bbd5ec53f2f0b5671e720c2,373.373201,0.00042526
0xba1e7f0294e38d4aa5f817a3f347b0835130a2d9,2121.053860,0.00241580
0xd7d26979af34c25c58bf56fb8b0ca5541357712b,13.168417,0.00001500
0xec78bbec279611af3a61b31321ec765ce698c0cb,79.486442,0.00009053
0x5014da4d14dc38847182dc7adfc670424f14e818,3.099667,0.00000353
0x2e2e898e85571807f4fc63e41d37b612cb7832d0,1232.614859,0.00140390
0x9f3a119f52c274c197a306d1480fc4852129de36,4759.350633,0.00542072
0x1cf8da0110f4cb8924aa4eba7ef3a04430897c05,16.163855,0.00001841
0x8cf290bb27e7b30e0002ac7ce11482912b5e21f0,2.079042,0.00000237
0x27756334f9dd3c3c0820e2f714a487158d2d4340,8.161292,0.00000930
0x4415c66ebaf6f33c9e1abffb9c33277f55652a00,14.682155,0.00001672
0xe6937143d271af235cbf43f94fa8a9b1885fbbc1,3.263569,0.00000372
0xc0c251b1b62db704a2771600c40ffe0bfb2cd4cd,813.231844,0.00092624
0xe4bb1e1d6e4f7c461e7a77cb7b920df6e3ef0073,3.127788,0.00000356
0xac08f6bf754f756691a3a61ddd5ff00fc9488373,8.659706,0.00000986
0x276f6a78379c300b3dc29a32712b8658121c2c16,12.702622,0.00001447
0xedd57ab12f54dedc9dfbb91a7048bfe0db7d534e,108.566741,0.00012365
0x65f7e3ea4c1507f50467b7334e6d8f7547bb41d3,68.312731,0.00007781
0x906452c7b29cd340b0759a6acda8585ff9d571f1,917.847168,0.00104539
0x9b5ec2fffbec9aaece5bd335200d5da14da04fcf,21.233381,0.00002418
0x05aee043959d4468108e08b7fc865ce75b93a522,3.726910,0.00000424
0x366edac26f8ad72997e7233a72d12366002b35da,0.490080,0.00000056
0x8c2d61cac8677e1f795c0f320994e6ff3c02de6f,8.377334,0.00000954
0xdc89c974c03c258e8349a6cabef3e40351892d98,4.102679,0.00000467
0xeb18c95d461b49000084016a2ff5a07a735d1768,300.851536,0.00034266
0x202f6e3bd65545aa5d3e9a44ff05f79f8e00cd6f,4.102159,0.00000467
0xce888fe2db841ed6e1d17e690cd5782e5ae7d441,4.101998,0.00000467
0x57a156a9ec79fdab37f1c3ea29268c476a7a22af,4.103054,0.00000467
0x46b491f9f599c881fab0facee8bb03aa59dece19,4.102879,0.00000467
0xa5d53fbf228d4507c449e576d06c70907bd33f8e,4.103104,0.00000467
0xd9594d55b0a129aca08be1fa53efc0213c1f4c88,4.102683,0.00000467
0xab04eae8d44b514dcaedd8890f0e42b98c1a7d0e,4.108506,0.00000468
0xd33f62ea2f52a9bffd2776a39e2b2883abf5b8bf,28.470426,0.00003243
0x12a94c63db587eab4efea50206a61e292b95e1c5,2.764189,0.00000315
0xae581f384c36186171eb320d014afbd7369f984c,1.211764,0.00000138
